Артикул;Основная категория товара;Наименование;Описание;Производитель;Артикул производителя;Цена (Розница);Цена (Опт);Можно купить;На складе;Время отгрузки;Размер/Цвет;Материал;Батарейки;Упаковка;Вес (брутто);Фотография маленькая до 150*150;Фотография 1;Фотография 2;Фотография 3;Фотография 4;Фотография 5
751;Вибраторы;Вибратор натуральной формы - 20 см.;Очень реалистичный вибратор со встроенным пультом управления вибрацией. Рельеф в виде вздувшихся от притока крови сосудов бросают женщину в дрожь от удовольствия чувствовать его внутри себя. Длина - 20 см.;Doc Johnson;5016-00;2457.00;1365.15;1;30;2;;латекс;2 шт., тип AA;;;http://feed.p5s.ru/images/small/0/small_751.jpg;http://feed.p5s.ru/images/big/0/751.jpg;http://feed.p5s.ru/images/big/0/751-1.jpg;http://feed.p5s.ru/images/big/0/751-2.jpg;http://feed.p5s.ru/images/big/0/751-3.jpg;
757;BDSM, садо-мазо товары;Зажимы на грудь с цепью;Эта серебристая цепочка украсит собой ваш бюст и подарит сильные, острые ощущения. Она крепится к соскам благодаря зажимам. Сила крепления регулируется с помощью гвоздиков-ограничителей на каждом из них.  Чтобы сладостное удовольствие от тисков не покидало вас ни на секунду, к цепочке прикреплен груз в форме капельки, оттягивающий соски вниз. Длина цепочки 36 см. Длина зажима 4 см.;California Exotic Novelties;SE-2593-00-2;1563.00;822.61;1;6;2;;металл;;блистер;;http://feed.p5s.ru/images/small/0/small_757.jpg;http://feed.p5s.ru/images/big/0/757.jpg;http://feed.p5s.ru/images/big/0/757-1.jpg;http://feed.p5s.ru/images/big/0/757-2.jpg;;
761;Фаллоимитаторы;Гладкий двусторонний гелевый фаллоимитатор - 32 см.;Полупрозрачный гладкий фаллоимитатор.  Длина - 32 см. Диаметр - 3,5 см.;California Exotic Novelties;SE-0281-30-2;1855.00;1030.59;0;0;3;;силикон;;блистер;;http://feed.p5s.ru/images/small/0/small_761.jpg;http://feed.p5s.ru/images/big/0/761.jpg;http://feed.p5s.ru/images/big/0/761-1.jpg;http://feed.p5s.ru/images/big/0/761-2.jpg;http://feed.p5s.ru/images/big/0/761-3.jpg;http://feed.p5s.ru/images/big/0/761-4.jpg
762;Фаллоимитаторы;Силиконовый фаллоимитатор;Полупрозрачный фаллоимитатор с глубоким рельефом кровеносных сосудов.  Длина - 32 см. Диаметр - 3,5 см.;California Exotic Novelties;SE-0281-40-2;1803.00;858.60;0;0;3;;силикон;;блистер;;http://feed.p5s.ru/images/small/0/small_762.jpg;http://feed.p5s.ru/images/big/0/762.jpg;http://feed.p5s.ru/images/big/0/762-1.jpg;http://feed.p5s.ru/images/big/0/762-2.jpg;http://feed.p5s.ru/images/big/0/762-3.jpg;http://feed.p5s.ru/images/big/0/762-4.jpg
774;Вибраторы;Нежный вибратор с мошонкой - 17,5 см.;Фаллоимитатор из ультра-реалистичного материала с мошонкой. Мощный пульт управления вибрацией выносной. Производители обещают, что по ощущениям этот фаллос не уступает настоящему, а даже превосходит его! Длина изделия - 17,5 см. Диаметр - 4,2 см.;California Exotic Novelties;SE-0466-01-3;1566.00;824.00;0;0;3;;Ultraskin;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_774.jpg;http://feed.p5s.ru/images/big/0/774.jpg;;;;
810;Смазки, лубриканты;Крем для мужчин INVERMA HERREN CREME - 20 мл.;Супер-крем для усиления мужской эрекции.После определенного возраста многие мужчины отмечают ухудшение эректильной функции, снижение либидо. Немецкие ученые разработали группу продуктов INVERMA, которые способствуют повышению потенции, и тем самым улучшают качество сексуальной жизни мужчин после 30 лет.   Опрос показал, что мужчины, использовавшие крем INVERMA HERREN CREME однократно перед половым актом отмечали улучшение эрекции, те же, кто использовал крем курсом отметили качественное улучшение потенции, стабильную эрекцию и более яркий и долгий оргазм.Усиливает интенсивность ощущений, дает незамедлительный эффект, предотвращающий ослабление эрекции в течение продолжительного времени.  Максимальный эффект достигается при курсовом применении. Специальные компоненты, входящие в состав крема, благотворно влияют на эректильную функию. При регулярном применении обеспечивается сильная и стабильная эрекция. Не имеет побочных эффектов.  Перед применением внимательно прочитайте инструкцию.;Inverma;52300;1440.00;758.00;1;6;2;;;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_810.jpg;http://feed.p5s.ru/images/big/0/810.jpg;;;;
819;Фаллоимитаторы;Черный двухголовый фаллоимитатор - 30 см.;Двойное 30-ти сантиметровое удовольствие сразу для двух любовниц! Гладкий упругий материал, из которого сделано это женское счастье, позволит забыть обо всем! Фаллоимитатор с двумя крупными головками богато украшен рельефом, тщательно повторяющим кровеносные сосуды эрегированного пениса, внутри находится гибкий каркас, позволяющий фиксировать любой изгиб фаллоимитатора.;Doc Johnson;0212-04-CD;1967.00;1092.60;1;27;2;черный;поливинилхлорид (ПВХ, PVC);;блистер;;http://feed.p5s.ru/images/small/0/small_819.jpg;http://feed.p5s.ru/images/big/0/819.jpg;;;;
821;Фаллоимитаторы;Черный фаллос реалистичной формы на присоске - 22 см.;С этим фаллосом вы сможете почувствовать себя нубийской принцессой, которую неистово и одновременно нежно ласкает чернокожий раб.  Упругий фаллоимитатор шоколадного цвета с бархатистой поверхностью и волнующим рельефом подарит вам чувственные ласки и исполнение секс-фантазий.  Присоска на основании, благодаря которой секс-игрушку можно закрепить на любой жёсткой поверхности, позволит вам не отвлекаться от сладких грёз для отдыха рук. Длина 22 см. Диаметр 4,8 см.;Doc Johnson;0271-05-BX;4605.00;2709.00;0;0;3;;латекс;;картонная коробка;657;http://feed.p5s.ru/images/small/0/small_821.jpg;http://feed.p5s.ru/images/big/0/821.jpg;http://feed.p5s.ru/images/big/0/821-1.jpg;http://feed.p5s.ru/images/big/0/821-2.jpg;http://feed.p5s.ru/images/big/0/821-3.jpg;http://feed.p5s.ru/images/big/0/821-4.jpg
823;Анальные игрушки;Гелевый заостренный анальный вибромассажер;Гелевый массажер с заостренным концом для идеальной проходимости. Длина - 20 см. Диаметр головки - 3 см. Диаметр у основания - 5 см.;Gopaldas;893JPR BX GP;889.00;423.23;0;0;3;;силикон;;блистер;256;http://feed.p5s.ru/images/small/0/small_823.jpg;http://feed.p5s.ru/images/big/0/823.jpg;;;;
827;Секс-товары для мужчин;Вибрирующая вагина-девственница с женской фигуркой;Искусственная вагина-девственница. Вход во влагалище закрыт пленкой, имитирующей девственную плеву. Вы можете порвать целку, испытав при этом незабываемые впечатления. А дальше вибрирующая вульва доставит Вам незабываемое наслаждение.;Seven Creations;9941 ACHBX GP;1883.00;991.19;1;81;2;розовый;поливинилхлорид (ПВХ, PVC);2 шт., тип AA;картонная коробка;698;http://feed.p5s.ru/images/small/0/small_827.jpg;http://feed.p5s.ru/images/big/0/827.jpg;http://feed.p5s.ru/images/big/0/827-1.jpg;;;
828;Секс-товары для мужчин;Эротическая кукла с тремя тоннелями любви;Кукла стоячая, светлокожая блондинка. Волосы на передней части головы, оформлены в очаровательные *хвостики* с красными бантиками. Мягкий муляж головы, голубые нарисованные глаза, рот открыт, грудь (муляж) упругая, маленькая с розовыми сосками. Есть отверстия для орального, вагинального и анального секса. В комплект входит вагина из материала живое тело, которая вставляется в вагинальное отверстие куклы. Прилагается поршневой насос для удобного надувания куклы.;Seven Creations;20K17 BX GP;2519.00;1399.70;1;90;2;телесный;поливинилхлорид (ПВХ, PVC);;картонная коробка;1326;http://feed.p5s.ru/images/small/0/small_828.jpg;http://feed.p5s.ru/images/big/0/828.jpg;;;;
840;Смазки, лубриканты;Любрикант на водной основе For Play Plus - 74 мл.;Классический любрикант на водной основе For Play Plus - это превосходное сочетание увлажняющего эффекта с дополнительной защитой от венерических заболеваний. Прозрачный, увлажняющий, прекрасно совместимый с резиновыми и латексными изделиями любрикант добавит комфорт и удовольствие в Вашу интимную жизнь.;ForPlay;For Play Plus 2,25oz;593.00;263.34;1;83;2;;;;флакон;;http://feed.p5s.ru/images/small/0/small_840.jpg;http://feed.p5s.ru/images/big/0/840.jpg;;;;
850;Вибраторы;Фиолетовый эротический набор из пластика;В набор входят: пластиковые вибромассажер длиной 11,5 см, вибратор-яичко, вагинальные шарики со смещенным центром тяжести, а также 2 силиконовых эрекционных кольца, которые могут использоваться как для усиления эрекции (одеваются на основание пениса), так и для стимуляции внутренних эрогенных зон (одеваются под головку полового члена или на вибромассажер).;Seven Creations;2K212CPR BX GP;1634.00;777.94;0;0;3;;анодированный пластик, силикон;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_850.jpg;http://feed.p5s.ru/images/big/0/850.jpg;;;;
860;Вибраторы;Вибромассажер классической формы  Любовник Гейши  - 21 см.;Этот вибромассажер может ласкать не только эрогенные зоны гениталий, но и всего тела, делая его более чувствительным и восприимчивым, создавая приятные ощущения. Имеет рельефную поверхность, встроенный пульт управления вибрацией.;Seven Creations;220JPR;1637.00;861.47;0;0;3;;силикон;2 шт., тип AA;картонная коробка;316;http://feed.p5s.ru/images/small/0/small_860.jpg;http://feed.p5s.ru/images/big/0/860.jpg;http://feed.p5s.ru/images/big/0/860-1.jpg;;;
862;Вибраторы;Мягкий вибромассажер -  22 см.;Имитатор фаллоса - мягкий вибромассажер изогнутой формы. Этот вибромассажер может ласкать не только эрогенные зоны гениталий, но и всего тела, делая его более чувствительным и восприимчивым, создавая приятные ощущения.;Gopaldas;250M AC2BX GP;1257.00;661.68;1;118;2;телесный;силикон;2 шт., тип AA;картонная коробка;382;http://feed.p5s.ru/images/small/0/small_862.jpg;http://feed.p5s.ru/images/big/0/862.jpg;;;;
891;Вибраторы;Вибратор с мошонкой №1 - 18,5 см.;Его зовут Номер 1, и это имя полностью отражает его сущность. Идеальный во всём – в реалистичных формах и мощной вибрации – он способен стать вашим лучшим любовником!  Чувственно проникая в лоно и массируя стеночки (заслуга упругого тельца с рельефом), вибратор из ультрареалистичного материала заведёт вас с первых же секунд вибрации.;Сумерки богов;202-01 BX SB;1496.00;787.50;1;1;1;телесный;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_891.jpg;http://feed.p5s.ru/images/big/0/891.jpg;http://feed.p5s.ru/images/big/0/891-1.jpg;http://feed.p5s.ru/images/big/0/891-2.jpg;http://feed.p5s.ru/images/big/0/891-3.jpg;
892;Вибраторы;Вибратор с клиторальными шипами №10 - 17 см.;У этого вибратора со встроенным пультом есть все шансы завоевать вашу любовь. Только взгляните на упругое тельце с розовой головкой и вздувшимися венками.  Только пройдитесь пальчиками по ним и шипам на основании, способным нежно касаться клитора при каждом погружении.  Добавьте к этому мощную вибрацию, чтобы понять – когда в ваших руках этот вибромассажёр, без удовольствия вам никак не остаться.;Сумерки богов;202-10 BX SB;1315.00;626.23;1;2;1;;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_892.jpg;http://feed.p5s.ru/images/big/0/892.jpg;http://feed.p5s.ru/images/big/0/892-1.jpg;http://feed.p5s.ru/images/big/0/892-2.jpg;http://feed.p5s.ru/images/big/0/892-3.jpg;
893;Вибраторы;Вибратор-реалистик с мошонкой - 16,3 см.;Когда розовая головка этого вибромассажёра касается входа в лоно, тело будто пронзает электрический заряд. Каждая клеточка загорается предвкушением будущей ласки!  Вибратор, выполненный из реалистичного на ощупь материала и повторяющий анатомические формы мужского члена, быстро доведёт вас до сексуальной разрядке и пикового «о, да!»;Сумерки богов;202-02 BX SB;1625.00;855.00;1;1;1;;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_893.jpg;http://feed.p5s.ru/images/big/0/893.jpg;http://feed.p5s.ru/images/big/0/893-1.jpg;http://feed.p5s.ru/images/big/0/893-2.jpg;http://feed.p5s.ru/images/big/0/893-3.jpg;
898;Фаллоимитаторы;Фаллоимитатор гелевый с присоской на основании - 17 см.;Этот фаллоимитатор, бесспорно, подарит вам массу сильных ощущений. Нежно-малиновый дилдо дарует вам истинное наслаждения, проникая в лоно и скользя там так нежно.  Мягкое, но при этом упругое тельце фаллоса проникнет в вас так глубоко и трепетно, как никто ранее. Использование этого рельефного красавца для вагинальной стимуляции гарантированно обернется ярчайшей разрядкой.  Диаметр 4 см;Сумерки богов;311-03 BX DD;980.00;490.00;1;2;1;красный;гель;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_898.jpg;http://feed.p5s.ru/images/big/0/898.jpg;http://feed.p5s.ru/images/big/0/898-1.jpg;http://feed.p5s.ru/images/big/0/898-2.jpg;http://feed.p5s.ru/images/big/0/898-3.jpg;
899;Фаллоимитаторы;Рельефный гелевый фаллоимитатор на присоске - 20 см.;Этот фаллоимитатор можно назвать эталоном. Каждая из его характеристик идёт с приставками типа гипер-, мега- или экстра-.  Во-первых, это действительно яркий дизайн: реалистик выполнен из малинового геля. Во-вторых, это впечатляющие размеры: один вид приводит в сексуальный трепет. В-третьих, ярко выраженный рельеф и нежная поверхность: касания этого дилдо 100 % будут чувственными.  Плюс ко всему, секс-игрушка имеет присоску, позволяющую зафиксировать её на любой жесткой поверхности. Теперь и позиций для секс-утех не счесть!;Сумерки богов;311-09 BX DD;980.00;490.00;1;5;1;красный;гель;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_899.jpg;http://feed.p5s.ru/images/big/0/899.jpg;http://feed.p5s.ru/images/big/0/899-1.jpg;http://feed.p5s.ru/images/big/0/899-2.jpg;http://feed.p5s.ru/images/big/0/899-3.jpg;
900;Фаллоимитаторы;Фаллоимитатор гелевый на присоске с шипами на основании - 17 см.;Когда под рукой есть этот фаллоимитатор, весь мир покажется радужным и светлым. Всё благодаря тем сильным и очень приятным ощущениям, что получит женщина при проникновении малинового дилдо в лоно.  Большой, со слегка загнутой головкой, он будет погружаться в вас так нежно и чувственно. Маленькие шипы на основании будут касаться клитора при каждом введении, а значит, фаллоимитатор будет воздействовать на несколько эрогенных зон сразу.;Сумерки богов;311-10 BX DD;980.00;490.00;1;2;1;красный;гель;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_900.jpg;http://feed.p5s.ru/images/big/0/900.jpg;http://feed.p5s.ru/images/big/0/900-1.jpg;http://feed.p5s.ru/images/big/0/900-2.jpg;http://feed.p5s.ru/images/big/0/900-3.jpg;
901;Фаллоимитаторы;Малиновый гелевый анально-вагинальный фаллоимитатор на присоске - 14 см.;Этот малиновый дилдо заставит вас стонать от удовольствия. Еще бы, трудно сдерживать эмоции во время двойного проникновения. Ощущать внутри себя два фаллоса сразу с большими головками и рельефными основаниями  - это так захватывающе.  Для удобства использования двойной фаллоимитатор крепится на присоске. Вам наверняка понравится насаживаться на него сверху, контролировать темп и глубину проникновений.  Длина анального фаллоса - 12 см. Диаметр анального фаллоса - 2,5 см.;Сумерки богов;311-08 BX DD;980.00;490.00;1;2;1;малиновый;гель;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_901.jpg;http://feed.p5s.ru/images/big/0/901.jpg;http://feed.p5s.ru/images/big/0/901-1.jpg;http://feed.p5s.ru/images/big/0/901-2.jpg;http://feed.p5s.ru/images/big/0/901-3.jpg;http://feed.p5s.ru/images/big/0/901-4.jpg
902;Фаллоимитаторы;Фаллоимитатор гелевый для анально-вагинальной стимуляции - 17 см.;Когда тело просит ласки, не стоит отказывать себе в удовольствии. Этот малиновый фаллоимитатор поможет вам расслабиться и получить яркую разрядку за считанные минуты.  Гладкие, упругие отростки с рельефом в виде складочек и венок будут одновременно погружаться в вагину и анус, заставляя вас дрожать от желания. Присоска на основании поможет зафиксировать дилдо на тумбе, стуле или полу, что значительно расширит количество позиций для самоудовлетворения.  Длина анального фаллоса - 12 см. Диаметр анального фаллоса - 2,5 см.;Сумерки богов;311-11 BX DD;980.00;490.00;1;2;1;красный;гель;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_902.jpg;http://feed.p5s.ru/images/big/0/902.jpg;http://feed.p5s.ru/images/big/0/902-1.jpg;http://feed.p5s.ru/images/big/0/902-2.jpg;http://feed.p5s.ru/images/big/0/902-3.jpg;
904;Вибраторы;Реалистичный вибратор с мошонкой №1 - 18,5 см.;Касаясь этого вибратора  в темноте, можно с лёгкостью спутать его с членом мужчине. Такой же упругий и бархатистый на ощупь, с теми же реалистичными формами…ох!  Включив вибрацию и направив игрушку вглубь лона, вы разбудите каждую клеточку своего тела. Проникновение за проникновением, и вот уже с губ срывается сладкое «ммм, даа!».;Сумерки богов;102-01 BX SB;1284.00;675.56;1;4;1;;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_904.jpg;http://feed.p5s.ru/images/big/0/904.jpg;http://feed.p5s.ru/images/big/0/904-1.jpg;http://feed.p5s.ru/images/big/0/904-2.jpg;http://feed.p5s.ru/images/big/0/904-3.jpg;
905;Вибраторы;Вибратор с мошонкой №2 телесного цвета - 16,3 см.;Этот вибромассажёр полностью повторяет анатомические формы мужского члена. Чётко очерченная головка, упругое тельце и узор из напряжённых вен… Ощущая игрушку внутри лона, трудно сдержать рвущийся наружу стон наслаждения. Если же наполнить проникновения вибрацией, фантазий о плотской любви уже не сдержать!;Сумерки богов;102-02 BX SB;1511.00;795.00;1;2;1;телесный;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_905.jpg;http://feed.p5s.ru/images/big/0/905.jpg;http://feed.p5s.ru/images/big/0/905-1.jpg;http://feed.p5s.ru/images/big/0/905-2.jpg;http://feed.p5s.ru/images/big/0/905-3.jpg;
906;Вибраторы;Вибратор телесного цвета №3 - 17 см.;Взяв в руки этот телесный вибратор-реалистик со встроенным пультом, понимаешь, что с ним вам не захочется расставаться ни на секунду.  Приятный, чуть бархатистый на ощупь (заслуга инновационного материала ЭКОй), он порадует вас мощной вибрацией и экстра чувственными проникновениями в лоно.  Маленькая упругая головка, складочки и венки на тельце… №3 – номер один в удовлетворении плотских желаний.;Сумерки богов;102-03 BX SB;1382.00;727.51;1;1;1;;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_906.jpg;http://feed.p5s.ru/images/big/0/906.jpg;http://feed.p5s.ru/images/big/0/906-1.jpg;http://feed.p5s.ru/images/big/0/906-2.jpg;http://feed.p5s.ru/images/big/0/906-3.jpg;
907;Вибраторы;Вибратор с мошонкой №4 - 16,7 см.;Этот «мужчина» не разочарует, оказавшись в плену вашего лона.  Мощно вибрируя, нежно массируя стеночки своим упругим тельцем и чувственно исследуя головкой самые дальние уголки, он заставит вас извиваться от нахлынувшего возбуждения.  Вас покорят его реалистичные формы, бархатистая поверхность и пламенный мотор, управлять которым вы сможете при помощи встроенного пульта.;Сумерки богов;102-04 BX SB;1382.00;727.50;1;1;1;;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_907.jpg;http://feed.p5s.ru/images/big/0/907.jpg;http://feed.p5s.ru/images/big/0/907-1.jpg;http://feed.p5s.ru/images/big/0/907-2.jpg;http://feed.p5s.ru/images/big/0/907-3.jpg;
908;Вибраторы;Вибратор реалистичной формы №5 с мошонкой - 17 см.;Грусть-тоска, всё раздражает? Номер 5 – то, что доктор прописал! Вибратор, имитирующий по форме эрегированный член с поджатой мошонкой, способен подарить вам море позитивных эмоций и ярких сексуальных переживаний.  Для этого достаточно включить вибрацию поворотом встроенного пульта, а после – погрузить упругое тельце с чётко очерченной головкой в лоно.  Трепет телесной игрушки вкупе с чувственным массажем стеночек заставит всё ваше тело пылать от желания!;Сумерки богов;102-05 BX SB;1511.00;795.00;1;2;1;телесный;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_908.jpg;http://feed.p5s.ru/images/big/0/908.jpg;http://feed.p5s.ru/images/big/0/908-1.jpg;http://feed.p5s.ru/images/big/0/908-2.jpg;http://feed.p5s.ru/images/big/0/908-3.jpg;
909;Вибраторы;Вибратор реалистик N9 без мошонки - 20 см.;Такой большой, такой напряженный… От одного взгляда на этот вибратор лоно начинает пульсировать от нетерпения. И неспроста, ведь ощущение, когда этот крепыш двигается и неистово вибрирует внутри вашего тела, просто божественное!   Вам удастся почувствовать и напряженные венки, и крупную головку, и мультискоростную вибрацию. №9 станет номером один в вашей коллекции секс-игрушек.;Сумерки богов;102-09 BX SB;1511.00;795.00;1;2;1;телесный;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_909.jpg;http://feed.p5s.ru/images/big/0/909.jpg;http://feed.p5s.ru/images/big/0/909-1.jpg;http://feed.p5s.ru/images/big/0/909-2.jpg;http://feed.p5s.ru/images/big/0/909-3.jpg;
910;Вибраторы;Вибратор-реалистик №10 с усиками - 17 см.;В этом вибраторе совершенна каждая деталь. Весь его вид манит прикоснуться, а после – ввести в своё лоно.  Выполненный из ультрареалистичного материала телесного цвета, он точно повторяет анатомические формы мужского фаллоса.  За парой исключений – в виде мощной вибрации и мягоньких шипов у основания, гарантирующих нежное воздействие на клитор во время ласк.;Сумерки богов;102-10 BX SB;1382.00;727.51;1;1;1;;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_910.jpg;http://feed.p5s.ru/images/big/0/910.jpg;http://feed.p5s.ru/images/big/0/910-1.jpg;http://feed.p5s.ru/images/big/0/910-2.jpg;http://feed.p5s.ru/images/big/0/910-3.jpg;
911;Фаллоимитаторы;Фаллоимитатор на присоске №3 - 17 см.;Чтобы получить массу приятных ощущений, нужен лишь он – номер три! Стимулятор, выполненный в форме фаллоса из телесного и реалистичного на ощупь материала, подарит самые чувственные проникновения в лоно.  Для того чтобы пользование упругой игрушкой было более приятным, рекомендуем зафиксировать её на кафеле в ванной или любой другой твёрдой ровной поверхности при помощи присоски. Так вы сможете задавать ритм, не пользуясь руками…ммм!;Сумерки богов;101-03 BX DD;920.00;460.00;1;2;1;телесный;ЭКОй;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_911.jpg;http://feed.p5s.ru/images/big/0/911.jpg;http://feed.p5s.ru/images/big/0/911-1.jpg;http://feed.p5s.ru/images/big/0/911-2.jpg;http://feed.p5s.ru/images/big/0/911-3.jpg;
912;Фаллоимитаторы;Двойной фаллоимитатор на присоске - 14 см.;Можно мечтать о сексе в формате М-Ж-М, а можно заняться им, не привлекая кого-либо извне. Этот двойной стимулятор, оснащённый присоской для фиксации на любой ровной твёрдой поверхности, подарит вам чувственные анально-вагинальные проникновения.  Пока один фаллос находится в лоне, второй, что поменьше, растягивает стеночки ануса. Экспериментируйте с комфортом, задавайте любой по интенсивности ритм – двойное удовольствие обязательно накроет вас с головой!  Длина анального фаллоса - 12 см. Диаметр анального фаллоса - 2,5 см.;Сумерки богов;101-08 BX DD;920.00;460.00;1;3;1;телесный;ЭКОй;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_912.jpg;http://feed.p5s.ru/images/big/0/912.jpg;http://feed.p5s.ru/images/big/0/912-1.jpg;http://feed.p5s.ru/images/big/0/912-2.jpg;;
914;Фаллоимитаторы;Фаллоимитатор со стимулятором клитора №10 - 17 см.;Если этот фаллос с присоской, попав вам в руки, ласкает ладони своей бархатистой поверхностью… Что же будет, когда он окажется ТАМ?  Упругий ствол с гладкой головкой и нежными шипами у основания с лёгкостью проникнет в лоно, вызвав у вас целую борю сексуальных ощущений.  Чувственные погружения, лёгкий массаж клитора… и всё это в чётко заданном вами ритме, ох!;Сумерки богов;101-10 BX DD;920.00;460.00;1;1;1;;ЭКОй;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_914.jpg;http://feed.p5s.ru/images/big/0/914.jpg;http://feed.p5s.ru/images/big/0/914-1.jpg;http://feed.p5s.ru/images/big/0/914-2.jpg;http://feed.p5s.ru/images/big/0/914-3.jpg;
915;Фаллоимитаторы;Анально-вагинальный фаллоимитатор с шипами на присоске - 17 см.;Чтобы прочувствовать всю прелесть двойного проникновения, необязательно просить сексуального партнера использовать страпон или вибратор. Этот двойной фаллоимитатор справится с поставленной задачей на все 100 %.  Можно держать его рукой и направлять внутрь себя под нужным углом. Либо закрепить на твердой поверхности с помощью присоски и усесться сверху.  Скольжение обоих отростков, больший из которых покрыт шипами на основании для стимуляции клитора, доставит истинное наслаждение.  Длина анального фаллоса - 12 см. Диаметр анального фаллоса - 2,5 см.;Сумерки богов;101-11 BX DD;920.00;460.00;1;2;1;телесный;ЭКОй;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_915.jpg;http://feed.p5s.ru/images/big/0/915.jpg;http://feed.p5s.ru/images/big/0/915-1.jpg;http://feed.p5s.ru/images/big/0/915-2.jpg;http://feed.p5s.ru/images/big/0/915-3.jpg;
917;Вибраторы;Двойной вибратор с усиками №11 - 17 см.;Ни один мужчина не сможет войти в вас так, как сделает этот телесный вибратор. Выполненный в форме двух сросшихся у основания фаллосов – толстого и тонкого, он подарит вам одновременную стимуляцию вагины и ануса.  Когда один отросток погружается в лоно, второй сразу же оказывается в попке на той же глубине. Реалистичные формы и мощная вибрация сделают проникновения невероятно чувственными.  А шипы на основании игрушки усилят приятные ощущения за счёт массажа клитора.   Длина анального фаллоса - 12 см. Диаметр анального фаллоса - 2,5 см.;Сумерки богов;102-11 BX SB;1511.00;795.00;1;2;1;телесный;ЭКОй;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_917.jpg;http://feed.p5s.ru/images/big/0/917.jpg;http://feed.p5s.ru/images/big/0/917-1.jpg;http://feed.p5s.ru/images/big/0/917-2.jpg;http://feed.p5s.ru/images/big/0/917-3.jpg;
922;Фаллоимитаторы;Реалистичный имитатор  члена на присоске №2 - 16,3 см.;И пусть его зовут Номером Два, в деле сексуального удовлетворения  ему нет равных! Выполненный из реалистичного на ощупь материала, этот телесный фаллос с мошонкой покорит вас своей упругостью и нежностью проникновений.  Просто зафиксируйте его присоской на ровной твёрдой поверхности, чтобы освободить руки и бёдрами задать древний, как мир, ритм.;Сумерки богов;101-02 BX DD;920.00;460.00;1;2;1;телесный;ЭКОй;;картонная коробка;396;http://feed.p5s.ru/images/small/0/small_922.jpg;http://feed.p5s.ru/images/big/0/922.jpg;http://feed.p5s.ru/images/big/0/922-1.jpg;http://feed.p5s.ru/images/big/0/922-2.jpg;http://feed.p5s.ru/images/big/0/922-3.jpg;
923;Секс-товары для мужчин;Прозрачная силиконовая насадка-удлинитель Super Stretch;Эластичная силиконовая насадка-удлинитель подходит для любого размера пениса, увеличивает его на 5 см. Многочисленные мягкие усики дополнительно стимулируют эрогенные зоны. За счет необычайной мягкости насадка очень комфортна в использовании. Может использоваться как многоразовый презерватив, не только для удлинения полового члена, но и для удлинения вибратора или фаллоимитатора.;Seven Creations;99065-1CL ABX GP;649.00;324.32;0;0;3;;силикон;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_923.jpg;http://feed.p5s.ru/images/big/0/923.jpg;http://feed.p5s.ru/images/big/0/923-1.jpg;;;
924;Секс-товары для женщин;Вагинальные шарики Ben WA из тяжелого металла;Тренируя мышцы влагалища, Вы сможете контролировать их во время секса. Сжимая и разжимая их, вы доставите массу новых ощущений и наслаждение своему партнеру и себе. Гладкие металлические шарики будут не только тренировать мышцы, но и нежно массировать стенки влагалища. Вагинальные шарики из тяжелого металла в стеклянной шкатулке. Маленькие, но тяжелые, поэтому женщина вынуждена удерживать мышцы влагалища в напряжении, для того, чтобы удержать их внутри. Диаметр шариков 2 см. Вес двух шариков без упаковки:  57 грамм.;Pipedream;PD2711-00;1500.00;789.36;0;0;3;;металл;;картонная коробка;156;http://feed.p5s.ru/images/small/0/small_924.jpg;http://feed.p5s.ru/images/big/0/924.jpg;http://feed.p5s.ru/images/big/0/924-1.jpg;http://feed.p5s.ru/images/big/0/924-2.jpg;;
