Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
12941;3270.00;1816.81;1;35;2;"S-M черный,M-L черный";RUB;RUB
12942;1912.00;1062.15;1;20;2;"S-M черный с белым";RUB;RUB
12943;1823.00;1012.68;1;40;2;"S-M красный,M-L красный";RUB;RUB
12944;2240.00;1244.51;1;18;2;"S-M красный с белым";RUB;RUB
12948;451.00;167.00;1;2;1;черный;RUB;RUB
12949;451.00;167.00;1;1;1;черный;RUB;RUB
12950;481.00;178.09;1;21;2;черный;RUB;RUB
12951;2158.00;1198.92;1;14;2;S-M;RUB;RUB
12982;653.00;290.03;1;1;2;"S-M-L черный";RUB;RUB
12984;15417.00;9946.75;0;0;3;;RUB;RUB
12996;359.00;133.05;1;12;2;"S-M-L красный с черным";RUB;RUB
12999;953.00;501.45;0;0;3;;RUB;RUB
13001;650.00;324.95;0;0;3;;RUB;RUB
13003;650.00;324.95;1;20;2;"S-M-L белый с красным";RUB;RUB
13005;872.00;435.79;1;33;2;"S-M-L розовый";RUB;RUB
13006;989.00;494.62;1;64;2;"S-M-L черный,S-M-L красный,S-M-L белый";RUB;RUB
13007;1522.00;801.15;1;153;2;"S-M-L лиловый,S-M-L белый";RUB;RUB
13008;1456.00;766.32;1;137;1;"S-M-L розовый,S-M-L черный,S-M-L белый";RUB;RUB
13009;1645.00;865.75;0;0;3;;RUB;RUB
13010;1628.00;856.89;1;21;2;"S-M-L красный,S-M-L черный";RUB;RUB
13011;1669.00;878.64;0;0;3;;RUB;RUB
13012;1266.00;666.47;1;60;1;"S-M-L розовый,S-M-L черный,S-M-L белый,S-M-L красный";RUB;RUB
13018;7722.00;4412.50;1;3;2;;RUB;RUB
13019;31383.00;23246.39;0;0;3;;RUB;RUB
13020;3582.00;2046.85;1;12;2;черный;RUB;RUB
13022;3845.00;2197.00;1;6;2;;RUB;RUB
13023;3845.00;2197.00;1;8;2;;RUB;RUB
13024;3845.00;2197.00;1;6;2;;RUB;RUB
13025;3845.00;2197.00;1;9;2;;RUB;RUB
13026;3845.00;2197.00;1;9;2;;RUB;RUB
13027;3845.00;2197.00;1;5;2;;RUB;RUB
13034;1326.00;698.00;0;0;3;;RUB;RUB
13036;1326.00;698.00;1;6;2;розовый;RUB;RUB
13037;1326.00;698.00;1;2;2;фиолетовый;RUB;RUB
13038;1326.00;698.00;0;0;3;;RUB;RUB
13039;1037.00;546.00;1;5;2;зеленый;RUB;RUB
13040;1873.00;985.53;0;0;3;;RUB;RUB
13041;1873.00;985.53;0;0;3;;RUB;RUB
13043;1005.00;528.90;0;0;3;;RUB;RUB
13045;1102.00;580.17;0;0;3;;RUB;RUB
13049;2824.00;1568.98;1;2;2;фиолетовый;RUB;RUB
13054;787.00;393.34;1;5;2;черный;RUB;RUB
13055;933.00;466.57;1;26;2;розовый;RUB;RUB
13056;933.00;466.57;1;15;2;черный;RUB;RUB
13059;653.00;290.03;1;30;2;розовый;RUB;RUB
13060;653.00;290.03;1;26;2;розовый;RUB;RUB
13062;653.00;290.03;1;22;2;розовый;RUB;RUB
13063;653.00;290.03;1;41;2;черный;RUB;RUB
13064;653.00;290.03;1;37;2;розовый;RUB;RUB
13065;653.00;290.03;1;33;2;черный;RUB;RUB
13070;2218.00;1232.39;0;0;3;;RUB;RUB
13071;1826.00;1014.62;1;9;2;розовый;RUB;RUB
13072;1888.00;993.70;0;0;3;;RUB;RUB
13076;3816.00;2180.56;1;6;2;розовый;RUB;RUB
13077;3816.00;2180.56;1;5;2;фиолетовый;RUB;RUB
13078;1877.00;987.95;1;11;2;розовый;RUB;RUB
13079;1877.00;987.95;1;13;2;фиолетовый;RUB;RUB
13081;1629.00;857.48;1;18;2;розовый;RUB;RUB
13082;1629.00;857.48;0;0;3;;RUB;RUB
13087;681.00;340.47;0;0;3;;RUB;RUB
13089;681.00;340.47;0;0;3;;RUB;RUB
13090;681.00;340.47;0;0;3;;RUB;RUB
13091;681.00;340.47;0;0;3;;RUB;RUB
13092;702.00;351.00;0;0;3;;RUB;RUB
13093;1813.00;1007.35;1;10;2;"розовый с белым";RUB;RUB
13104;1458.00;767.27;0;0;3;;RUB;RUB
13105;1269.00;667.66;0;0;3;;RUB;RUB
13106;1210.00;637.00;1;4;1;;RUB;RUB
13107;1210.00;637.00;1;3;1;;RUB;RUB
13108;1210.00;637.00;1;2;1;;RUB;RUB
13114;2798.00;1554.59;1;3;2;"M голубой,S красный";RUB;RUB
13115;3054.00;1696.67;1;9;2;"M черный,M красный,M нежно-розовый,M белый,S черный,S нежно-розовый,S белый,L белый,S синий";RUB;RUB
13124;2961.00;1645.13;1;6;2;"M оранжевый,S оранжевый,M розовый,M голубой,S голубой";RUB;RUB
13125;2222.00;1234.20;1;1;2;"L черный";RUB;RUB
13136;2964.00;1646.53;1;2;2;"L белый,M белый";RUB;RUB
13140;2303.00;1279.47;0;0;3;;RUB;RUB
13145;4737.00;2706.60;1;1;2;"M нежно-розовый";RUB;RUB
13146;2138.00;1187.53;1;1;2;"S красный";RUB;RUB
13164;2667.00;1481.46;1;1;2;"L черный с красным";RUB;RUB
13171;3597.00;1998.26;1;2;2;"M белый,S черный";RUB;RUB
13173;3584.00;2108.26;1;1;1;"S-M-L черный с розовым";RUB;RUB
13175;2816.00;1564.34;1;2;2;"L розовый";RUB;RUB
13187;1874.00;1041.27;1;1;2;"S-M-L лимонный";RUB;RUB
13196;983.00;517.50;0;0;3;;RUB;RUB
13202;1884.00;1046.50;1;1;1;"S-M-L черный";RUB;RUB
13205;1089.00;573.22;1;10;2;"безразмерный белый";RUB;RUB
13206;3020.00;1677.87;1;13;2;"S-M-L черный,S-M-L черный с розовым,S-M-L черный с бирюзовым";RUB;RUB
13207;3420.00;1900.08;0;0;3;;RUB;RUB
13208;2111.00;1172.91;1;9;2;"S-M-L нежно-розовый с черным";RUB;RUB
13209;2111.00;1172.91;1;9;2;"S-M-L нежно-розовый с черным";RUB;RUB
13211;3525.00;1958.56;1;19;2;"S-M-L красный с черным,S-M-L черный с розовым";RUB;RUB
13213;3525.00;1958.56;1;2;2;"S-M-L голубой";RUB;RUB
13214;3543.00;1968.40;1;1;1;"S-M-L черный с красным";RUB;RUB
13215;1899.00;1055.20;0;0;3;;RUB;RUB
13217;1899.00;1055.20;1;23;2;"S-M-L красный с черным";RUB;RUB
13219;3054.00;1696.67;1;14;2;"S-M-L голубой с черным";RUB;RUB
13220;3054.00;1696.67;1;12;2;"S-M-L розовый";RUB;RUB
13221;2961.00;1645.13;1;8;2;"S-M-L черный";RUB;RUB
13222;1899.00;1055.20;1;23;2;"S-M-L розовый с черным,S-M-L лимонный";RUB;RUB
13223;1874.00;986.24;1;24;2;"S-M-L розовый с черным,S-M-L лимонный";RUB;RUB
13226;3290.00;1827.62;1;2;2;"S-M-L красный";RUB;RUB
13227;3886.00;2220.44;1;8;2;"M красный с черным,S красный с черным";RUB;RUB
13228;2467.00;1370.71;1;1;1;"XL красный с черным";RUB;RUB
13229;3525.00;1958.56;1;7;2;"M черный с красным,S черный с красным";RUB;RUB
13230;3543.00;1968.40;1;1;1;"M красный с черным";RUB;RUB
13231;3525.00;1958.56;1;2;2;"L красный с черным";RUB;RUB
13232;4094.00;2339.54;1;2;2;"S черный с красным";RUB;RUB
13233;4004.00;2288.00;1;1;1;"M черный";RUB;RUB
13234;3525.00;1958.56;1;1;2;"S черный";RUB;RUB
13235;4004.00;2288.00;1;3;2;"M черный";RUB;RUB
13236;4004.00;2288.00;1;5;2;"S красный с черным,XL красный с черным";RUB;RUB
13237;5609.00;3205.29;1;3;2;"XL красный с черным";RUB;RUB
13239;2633.00;1462.65;1;1;1;"S красный с черным";RUB;RUB
13240;4737.00;2706.60;1;2;2;"S черный с красным,XL черный с красным";RUB;RUB
13244;9212.00;5943.00;1;9;1;телесный;RUB;RUB
13245;9342.00;6027.12;1;11;2;телесный;RUB;RUB
13246;3343.00;1857.33;1;220;2;телесный;RUB;RUB
13247;2605.00;1447.38;0;0;3;;RUB;RUB
13248;2090.00;1161.16;0;0;3;;RUB;RUB
13249;481.00;178.16;1;10;2;;RUB;RUB
13250;2028.00;1126.72;1;13;1;;RUB;RUB
13255;1214.00;639.10;1;315;2;;RUB;RUB
13256;1160.00;610.39;1;2;2;;RUB;RUB
13257;23520.00;16800.00;0;0;3;;RUB;RUB
13258;25725.00;18375.00;0;0;3;;RUB;RUB
13260;3659.00;2090.91;1;6;2;бежевый;RUB;RUB
13261;7758.00;4433.22;1;11;2;телесный;RUB;RUB
13262;7758.00;4433.22;1;11;2;телесный;RUB;RUB
13263;7762.00;4435.20;1;11;2;телесный;RUB;RUB
13264;7762.00;4435.20;1;11;2;телесный;RUB;RUB
13265;7762.00;4435.20;1;11;2;телесный;RUB;RUB
13266;8162.00;4663.89;1;11;2;телесный;RUB;RUB
13267;13385.00;8635.77;1;11;2;телесный;RUB;RUB
13268;3308.00;1837.50;0;0;3;;RUB;RUB
13269;2980.00;1655.50;1;23;2;телесный;RUB;RUB
13270;5790.00;3308.58;1;11;2;телесный;RUB;RUB
13271;3659.00;2090.91;1;6;2;телесный;RUB;RUB
13272;2700.00;1500.00;1;6;2;телесный;RUB;RUB
13273;4141.00;2366.32;0;0;3;;RUB;RUB
13274;4411.00;2520.45;0;0;3;;RUB;RUB
13278;2131.00;1183.70;0;0;3;;RUB;RUB
13279;2131.00;1183.70;0;0;3;;RUB;RUB
13280;1210.00;637.07;0;0;3;;RUB;RUB
13281;2458.00;1365.76;1;10;2;телесный;RUB;RUB
13284;2061.00;1145.13;0;0;3;;RUB;RUB
13286;1086.00;571.49;1;11;2;розовый;RUB;RUB
13290;1290.00;679.00;1;8;2;;RUB;RUB
13291;1869.00;983.87;1;1;2;розовый;RUB;RUB
13294;1548.00;814.80;0;0;3;;RUB;RUB
13295;4097.00;2341.21;1;5;2;;RUB;RUB
13299;3704.00;2116.66;1;1;2;"M фиолетовый";RUB;RUB
13304;3293.00;1829.71;1;2;2;"M черный,S черный";RUB;RUB
13309;3385.00;1880.55;1;1;2;"S черный с белым";RUB;RUB
13312;5949.00;3399.62;1;1;2;"M черный";RUB;RUB
13315;5149.00;2942.02;1;4;2;"L черный,M черный,M розовый,S черный";RUB;RUB
13320;5609.00;3205.29;1;1;2;"S леопард";RUB;RUB
13321;6091.00;3480.41;1;1;2;"3X леопард";RUB;RUB
13331;1377.00;724.50;0;0;3;;RUB;RUB
13341;2818.00;1565.73;0;0;3;;RUB;RUB
13347;942.00;471.20;0;0;3;;RUB;RUB
13348;1051.00;500.65;0;0;3;;RUB;RUB
13349;942.00;471.20;0;0;3;;RUB;RUB
13350;978.00;488.87;0;0;3;;RUB;RUB
13352;1303.00;685.82;0;0;3;;RUB;RUB
13353;4985.00;2932.31;0;0;3;;RUB;RUB
13356;13990.00;6995.00;0;0;3;;RUB;RUB
13358;5546.00;3168.99;1;82;2;;RUB;RUB
13359;2161.00;1200.38;1;21;2;;RUB;RUB
13360;3010.00;1672.19;0;0;3;;RUB;RUB
13361;3981.00;2274.65;0;0;3;;RUB;RUB
13363;2161.00;1200.38;1;12;2;черный;RUB;RUB
13366;2057.00;1142.76;1;10;2;фиолетовый;RUB;RUB
13367;2057.00;1142.76;1;14;2;черный;RUB;RUB
13368;6705.00;3831.60;1;43;2;;RUB;RUB
13369;6705.00;3831.60;1;26;2;;RUB;RUB
13370;3324.00;1846.88;1;3;2;голубой;RUB;RUB
13391;2420.00;1344.42;1;67;2;красный;RUB;RUB
13392;2420.00;1344.42;0;0;3;;RUB;RUB
13393;2420.00;1344.42;1;33;2;;RUB;RUB
13394;2420.00;1344.42;1;83;2;синий;RUB;RUB
13395;2420.00;1344.42;1;51;2;;RUB;RUB
13396;2420.00;1344.42;1;33;2;;RUB;RUB
13397;2420.00;1344.42;1;32;2;;RUB;RUB
13398;2420.00;1344.42;1;32;2;;RUB;RUB
13399;1959.00;1088.58;1;22;2;черный;RUB;RUB
13400;1969.00;1093.78;1;23;2;;RUB;RUB
13401;1959.00;1088.58;1;29;2;;RUB;RUB
13407;6858.00;3919.05;0;0;3;;RUB;RUB
13410;6722.00;3841.20;1;15;2;;RUB;RUB
13413;8144.00;5254.44;0;0;3;;RUB;RUB
13417;7898.00;4513.41;1;37;2;;RUB;RUB
13423;7877.00;5082.22;0;0;3;;RUB;RUB
13425;6134.00;3505.10;0;0;3;;RUB;RUB
13430;6186.00;3534.81;1;14;2;;RUB;RUB
13431;6554.00;3745.17;1;17;2;;RUB;RUB
13433;4874.00;2784.87;1;11;2;;RUB;RUB
13434;4874.00;2784.87;1;5;2;;RUB;RUB
13438;6050.00;3457.08;1;13;2;;RUB;RUB
13439;6050.00;3457.08;0;0;3;;RUB;RUB
13442;4117.00;2352.74;1;25;2;;RUB;RUB
13443;4117.00;2352.74;1;20;2;черный;RUB;RUB
13444;6050.00;3457.08;0;0;3;;RUB;RUB
13445;6050.00;3457.08;1;14;2;красный;RUB;RUB
13446;6050.00;3457.08;1;22;2;;RUB;RUB
13447;6050.00;3457.08;1;6;2;;RUB;RUB
13448;6554.00;3745.17;1;25;2;;RUB;RUB
13449;6554.00;3745.17;1;12;2;;RUB;RUB
13450;5378.00;3072.96;0;0;3;;RUB;RUB
13451;5378.00;3072.96;0;0;3;;RUB;RUB
13453;5378.00;3072.96;0;0;3;;RUB;RUB
13454;6345.00;3625.79;0;0;3;;RUB;RUB
13458;5378.00;3072.96;0;0;3;;RUB;RUB
13464;4117.00;2352.74;1;64;2;;RUB;RUB
13465;4117.00;2352.74;1;42;2;;RUB;RUB
13466;4117.00;2352.74;1;44;2;;RUB;RUB
13467;4117.00;2352.74;1;35;2;;RUB;RUB
13470;3781.00;2160.68;1;34;2;;RUB;RUB
13471;3781.00;2160.68;1;35;2;;RUB;RUB
13484;4117.00;2352.74;1;13;2;;RUB;RUB
13485;4117.00;2352.74;1;26;2;;RUB;RUB
13488;6345.00;3625.79;0;0;3;;RUB;RUB
13489;6345.00;3625.79;0;0;3;;RUB;RUB
13490;13024.00;8402.63;1;55;2;розовый;RUB;RUB
13491;13024.00;8402.63;1;76;2;бирюзовый;RUB;RUB
13492;13024.00;8402.63;1;62;2;;RUB;RUB
13493;13024.00;8402.63;1;67;2;фиолетовый;RUB;RUB
13495;17651.00;12608.06;0;0;3;;RUB;RUB
13500;1879.00;989.15;1;138;2;;RUB;RUB
13501;1671.00;879.31;1;147;2;;RUB;RUB
13502;1679.00;883.48;1;21;2;красный;RUB;RUB
13503;1679.00;883.48;1;15;2;;RUB;RUB
13504;1671.00;879.31;1;40;2;;RUB;RUB
13505;1671.00;879.31;1;28;2;;RUB;RUB
13506;1733.00;912.29;1;39;2;;RUB;RUB
13507;1733.00;912.29;1;17;2;;RUB;RUB
13508;7440.00;4251.65;1;10;2;;RUB;RUB
13509;7478.00;4273.34;1;20;2;;RUB;RUB
13510;7898.00;4513.41;1;45;2;;RUB;RUB
13511;7898.00;4513.41;1;55;2;;RUB;RUB
13512;8571.00;4897.53;0;0;3;;RUB;RUB
13513;12166.00;7849.24;0;0;3;;RUB;RUB
13514;5546.00;3168.99;1;90;2;;RUB;RUB
13515;7898.00;4513.41;1;26;2;;RUB;RUB
13516;2161.00;1200.38;1;24;2;;RUB;RUB
13518;2161.00;1200.38;1;22;2;черный;RUB;RUB
13520;6554.00;3745.17;1;15;2;оранжевый;RUB;RUB
13521;6554.00;3745.17;1;15;2;;RUB;RUB
13522;648.00;288.09;1;120;2;;RUB;RUB
13523;648.00;288.09;1;498;2;;RUB;RUB
13526;497.00;221.00;0;0;3;;RUB;RUB
13527;2214.00;1229.98;1;28;2;розовый;RUB;RUB
13528;2214.00;1229.98;1;96;2;фиолетовый;RUB;RUB
13530;21485.00;15346.40;1;4;2;;RUB;RUB
13531;21485.00;15346.40;1;3;2;;RUB;RUB
13532;21485.00;15346.40;0;0;3;;RUB;RUB
13535;11782.00;7601.30;1;2;2;;RUB;RUB
13536;11782.00;7601.30;1;2;2;;RUB;RUB
13537;14425.00;10303.42;1;2;2;синий;RUB;RUB
13538;14663.00;9459.74;0;0;3;;RUB;RUB
13541;17609.00;12577.62;1;8;2;;RUB;RUB
13543;22091.00;15779.58;1;7;2;;RUB;RUB
13544;16300.00;11642.86;1;3;2;;RUB;RUB
13545;22091.00;15779.58;1;8;2;;RUB;RUB
13546;14858.00;9585.71;0;0;3;;RUB;RUB
13548;13871.00;8949.35;0;0;3;;RUB;RUB
13551;18252.00;13037.23;1;3;2;;RUB;RUB
13552;23189.00;16563.23;1;4;2;;RUB;RUB
13553;18252.00;13037.23;1;4;2;;RUB;RUB
13555;8149.00;5257.14;0;0;3;;RUB;RUB
13559;1821.00;958.55;0;0;3;;RUB;RUB
13563;2357.00;1122.17;0;0;3;;RUB;RUB
13569;662.00;294.00;1;20;2;"S-M-L черный";RUB;RUB
13570;749.00;374.36;0;0;3;;RUB;RUB
13571;896.00;448.00;1;5;2;белый;RUB;RUB
13572;936.00;468.00;1;8;2;черный;RUB;RUB
13573;1865.00;1036.00;1;13;2;"M-L красный,M-L розовый";RUB;RUB
13574;1913.00;1063.00;0;0;3;;RUB;RUB
13575;1807.00;951.00;1;39;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13576;2561.00;1423.00;0;0;3;;RUB;RUB
13577;1881.00;1045.20;1;15;1;"M-L черный,S-M белый,M-L белый";RUB;RUB
13579;2601.00;1444.76;1;53;2;"XXXL черный,XL черный,XXL черный,XXXL белый,XL белый,XXL белый";RUB;RUB
13580;1444.00;760.00;1;21;2;"S-M белый,M-L белый";RUB;RUB
13581;1790.00;942.00;1;18;2;"S-M голубой,M-L голубой,M-L зеленый";RUB;RUB
13582;1444.00;760.00;1;19;2;"M-L белый,S-M белый,M-L красный";RUB;RUB
13584;3522.00;1956.50;1;37;2;"XXXL черный,XL черный,XXL черный,XL белый,XXL белый,XXXL белый";RUB;RUB
13585;2480.00;1378.00;1;47;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13586;2857.00;1587.00;1;37;2;"XL черный,XXL черный,XXXL черный,XL белый,XXL белый,XXXL белый";RUB;RUB
13587;1828.00;962.00;1;15;2;"S-M черный,M-L черный,XL черный,M-L белый";RUB;RUB
13588;3413.00;1896.00;1;39;2;"S-M белый с красным,M-L белый с красным,XL белый с красным";RUB;RUB
13589;2338.00;1298.70;0;0;3;;RUB;RUB
13590;1569.00;825.60;0;0;3;;RUB;RUB
13591;2740.00;1522.00;1;29;2;"M-L черный,S-M черный,S-M белый,M-L белый";RUB;RUB
13593;3667.00;2095.60;1;34;2;"XL черный,XXL черный,XXXL черный,XL белый,XXL белый,XXXL белый";RUB;RUB
13595;2850.00;1583.40;1;7;2;"XL красный,XXXL красный";RUB;RUB
13596;1353.00;712.00;1;4;2;"M-L белый";RUB;RUB
13597;1870.00;1038.70;0;0;3;;RUB;RUB
13601;3264.00;1813.36;0;0;3;;RUB;RUB
13602;3156.00;1753.32;1;20;2;"XL черный,XXL черный,XXXL черный,XL красный,XXL красный";RUB;RUB
13603;2059.00;1144.00;1;9;2;"L белый";RUB;RUB
13605;2579.00;1433.00;1;39;2;"S-M черный,M-L черный,M-L белый";RUB;RUB
13606;3501.00;1945.00;1;28;2;"S-M черный с белым,M-L черный с белым";RUB;RUB
13607;2902.00;1612.00;1;16;2;"S белый,M белый,XL белый";RUB;RUB
13608;2108.00;1171.00;1;3;2;"S-M черный";RUB;RUB
13609;2561.00;1423.00;1;3;2;"M-L белый";RUB;RUB
13610;2810.00;1561.30;1;19;2;"XL черный,XXL черный,XXXL черный,XXL белый";RUB;RUB
13614;3251.00;1806.00;1;31;2;"XL черный,XXL черный,XL белый,XXXL черный,XXL белый,XXXL белый";RUB;RUB
13617;3055.00;1697.00;1;47;2;"XL черный,XXL черный,XXXL черный,XL красный,XXL красный,XXXL красный";RUB;RUB
13618;3255.00;1808.30;1;14;2;"XL белый,XXL белый,XXXL белый";RUB;RUB
13619;3053.00;1696.00;1;25;2;"XL черный,XXL черный,XXXL черный,XL белый,XXL белый,XXXL белый";RUB;RUB
13620;3157.00;1753.70;1;48;2;"XL черный,XXL черный,XXXL черный,XL белый,XXL белый,XXXL белый";RUB;RUB
13621;2979.00;1654.90;1;42;2;"XL черный,XXL черный,XXXL черный,XL белый,XXL белый,XXXL белый,XL красный,XXL красный,XXXL красный";RUB;RUB
13622;2956.00;1642.00;1;54;2;"XL черный,XXL черный,XXXL черный,XL белый,XXL белый,XXXL белый,XL красный,XXL красный,XXXL красный";RUB;RUB
13623;2723.00;1513.00;1;45;2;"S-M черный,M-L черный,S-M белый,M-L белый,S-M красный,M-L красный";RUB;RUB
13624;2572.00;1428.70;1;20;2;"S черный с розовым,M черный с розовым,L черный с розовым";RUB;RUB
13625;3550.00;1972.00;1;47;2;"S черный,M черный,S белый,M белый";RUB;RUB
13626;3161.00;1756.00;1;63;2;"S черный с бежевым,M черный с бежевым,S черный с розовым,M черный с розовым,L черный с розовым,L черный с бежевым";RUB;RUB
13627;2902.00;1612.00;1;6;2;"M черный,M красный";RUB;RUB
13628;2700.00;1500.20;1;4;2;"S-M черный,M-L черный";RUB;RUB
13629;3865.00;2208.70;1;4;2;"XXXL черный с белым";RUB;RUB
13631;3560.00;2034.50;1;6;2;"S-M черный,M-L черный";RUB;RUB
13633;3064.00;1702.00;1;28;2;"M-L черный,S-M белый,M-L белый";RUB;RUB
13634;3274.00;1818.70;0;0;3;;RUB;RUB
13635;2750.00;1528.00;1;114;2;"S черный,M черный,L черный,S белый,M белый,L белый";RUB;RUB
13638;1811.00;1006.20;0;0;3;;RUB;RUB
13639;2419.00;1344.00;1;31;2;"S черный,M черный,L черный";RUB;RUB
13641;2383.00;1324.00;0;0;3;;RUB;RUB
13642;2293.00;1274.00;1;80;2;"M-L черный,S-M черный,S-M белый,M-L белый,M-L красный";RUB;RUB
13643;2543.00;1413.00;1;31;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13644;2614.00;1452.10;1;36;2;"S-M черный,M-L черный,S-M белый,M-L белый,M-L красный";RUB;RUB
13645;2633.00;1462.50;1;39;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13646;2759.00;1533.00;1;132;2;"S черный,M черный,L черный,S белый,M белый,L белый,S красный,M красный,L красный";RUB;RUB
13647;1989.00;1105.00;1;26;2;"S-M черный,M-L черный,M-L белый,S-M красный,M-L красный";RUB;RUB
13648;3388.00;1882.00;1;77;2;"S черный,M черный,L черный,S белый,M белый,L белый,S черный с красным,M черный с красным,L черный с красным";RUB;RUB
13649;2257.00;1254.00;1;7;2;"S-M белый,M-L белый";RUB;RUB
13650;2810.00;1561.30;1;5;2;"S-M черный с белым,M-L черный с белым";RUB;RUB
13651;2669.00;1483.00;1;66;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13652;2947.00;1637.00;1;30;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13653;2947.00;1637.00;1;1;1;"S-M белый";RUB;RUB
13654;2383.00;1324.00;1;1;1;"M-L белый";RUB;RUB
13655;699.00;349.60;0;0;3;;RUB;RUB
13656;776.00;388.00;1;10;2;"S-M-L розовый";RUB;RUB
13657;708.00;354.16;1;5;2;"S-M-L черный";RUB;RUB
13658;956.00;478.00;1;9;2;"S-M-L черный";RUB;RUB
13659;582.00;258.70;1;12;2;"M-L черный,S-M белый,M-L белый,S-M красный,M-L красный";RUB;RUB
13660;777.00;388.70;1;8;2;"M-L черный,S-M белый,M-L белый";RUB;RUB
13661;637.00;283.10;0;0;3;;RUB;RUB
13663;670.00;297.70;1;5;2;красный;RUB;RUB
13664;640.00;319.80;1;9;2;золотой;RUB;RUB
13665;650.00;289.00;1;10;2;черный;RUB;RUB
13666;670.00;297.70;1;11;2;"белый с красным";RUB;RUB
13667;923.00;461.50;1;25;2;"S-M-L черный,S-M-L белый,S-M-L красный";RUB;RUB
13668;776.00;388.00;1;4;2;"S-M-L черный";RUB;RUB
13669;957.00;478.40;1;16;2;"S-M-L черный с белым";RUB;RUB
13670;684.00;341.90;1;6;2;"S-M-L красный";RUB;RUB
13672;866.00;433.00;1;7;2;"S-M-L белый";RUB;RUB
13673;718.00;359.00;1;20;2;"S-M-L черный,XL черный";RUB;RUB
13674;768.00;384.00;1;20;2;"S-M-L красный,XL красный";RUB;RUB
13675;730.00;364.80;0;0;3;;RUB;RUB
13676;582.00;258.70;1;9;1;"S-M белый,M-L белый";RUB;RUB
13677;1119.00;588.90;0;0;3;;RUB;RUB
13678;777.00;388.70;1;1;1;"M-L белый с розовым";RUB;RUB
13679;766.00;383.00;1;10;2;"S-M черный,M-L черный";RUB;RUB
13681;879.00;439.40;1;32;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13682;974.00;486.99;0;0;3;;RUB;RUB
13683;980.00;490.10;0;0;3;;RUB;RUB
13684;1067.00;561.60;1;20;2;"S-M черный,S-M белый,M-L белый";RUB;RUB
13685;986.00;518.70;1;9;2;"S-M черный,S-M белый,M-L красный";RUB;RUB
13686;777.00;388.70;0;0;3;;RUB;RUB
13687;984.00;518.00;1;24;2;"S-M черный,M-L черный,M-L красный";RUB;RUB
13688;1233.00;648.70;1;9;2;"S-M черный,M-L черный,S-M белый";RUB;RUB
13690;1119.00;588.90;1;33;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13692;996.00;498.00;1;15;2;"S-M черный с белым";RUB;RUB
13693;977.00;488.68;1;21;2;"S-M розовый с черным,M-L розовый с черным,S-M леопард,M-L леопард";RUB;RUB
13694;946.00;473.00;1;3;2;"M-L черный";RUB;RUB
13695;1119.00;588.90;1;17;2;"M-L белый,M-L красный,M-L розовый";RUB;RUB
13696;1536.00;808.60;1;6;2;"S-M-L черный,S-M-L белый";RUB;RUB
13697;836.00;418.00;1;15;2;"S-M-L черный";RUB;RUB
13698;656.00;291.48;1;4;1;"M-L черный с розовым";RUB;RUB
13699;858.00;429.00;1;5;2;"S-M-L белый";RUB;RUB
13701;886.00;443.00;1;14;2;"S-M-L красный с черным,S-M-L розовый с черным";RUB;RUB
13702;1025.00;539.50;1;80;2;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13703;1015.00;534.28;1;53;2;"XXL черный,XXXL белый,XL белый,XXL белый,XXXL красный,XL красный,XXL красный";RUB;RUB
13704;719.00;359.48;1;15;2;"1X-2X-3X черный,1X-2X-3X белый";RUB;RUB
13706;980.00;490.10;1;24;2;"1X-2X-3X черный,1X-2X-3X белый";RUB;RUB
13707;1161.00;611.00;1;15;2;"XXXL белый,XL белый,XXL белый";RUB;RUB
13708;776.00;388.00;1;31;2;"S-M-L черный,S-M-L белый,S-M-L красный";RUB;RUB
13709;638.00;319.00;1;38;2;"S-M-L черный,S-M-L белый";RUB;RUB
13711;907.00;453.72;0;0;3;;RUB;RUB
13712;843.00;421.68;0;0;3;;RUB;RUB
13713;1714.00;902.20;1;17;1;"S-M черный,M-L черный,S-M белый,M-L белый";RUB;RUB
13714;1695.00;892.00;1;2;2;"M-L белый";RUB;RUB
13715;1863.00;1034.80;1;8;2;"M-L черный,S-M белый,M-L белый";RUB;RUB
13716;618.00;309.00;1;15;2;"S-M-L черный";RUB;RUB
13717;866.00;433.00;1;10;2;"S-M-L черный";RUB;RUB
13718;1032.00;543.00;1;35;2;"S-M-L черный,S-M-L красный,S-M-L голубой";RUB;RUB
13719;736.00;368.00;1;26;2;"S-M-L белый с черным,S-M-L красный с черным";RUB;RUB
13720;669.00;334.40;1;1;2;"S-M-L красный";RUB;RUB
13721;796.00;398.00;1;16;2;"S-M-L черный с белым";RUB;RUB
