Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
45629;4119.00;2353.61;1;4;2;"L-XL бежевый,S-M бежевый";RUB;RUB
45631;5117.00;2924.10;1;6;2;розовый;RUB;RUB
45632;1482.00;779.88;1;1;2;прозрачный;RUB;RUB
45638;1673.00;880.76;1;2;2;черный;RUB;RUB
45641;578.00;257.05;1;5;2;телесный;RUB;RUB
45642;535.00;237.68;1;60;2;розовый;RUB;RUB
45663;3719.00;2125.00;1;68;2;"L белый,M белый,S белый,L черный,M черный,S черный";RUB;RUB
45669;3578.00;2044.76;1;7;2;прозрачный;RUB;RUB
45670;3021.00;1678.10;1;16;2;фиолетовый;RUB;RUB
45671;1366.00;718.77;1;7;2;телесный;RUB;RUB
45676;1539.00;809.95;1;22;2;телесный;RUB;RUB
45677;1797.00;945.75;1;8;2;телесный;RUB;RUB
45681;1018.00;536.00;0;0;3;;RUB;RUB
45682;3836.00;2192.20;1;15;2;розовый;RUB;RUB
45685;1115.00;587.10;0;0;3;;RUB;RUB
45687;445.00;164.90;0;0;3;;RUB;RUB
45688;436.00;161.50;0;0;3;;RUB;RUB
45691;712.00;355.99;0;0;3;;RUB;RUB
45692;4093.00;2338.67;1;16;2;телесный;RUB;RUB
45693;859.00;429.71;0;0;3;;RUB;RUB
45695;1576.00;829.35;0;0;3;;RUB;RUB
45696;771.00;385.70;0;0;3;;RUB;RUB
45697;1139.00;599.46;0;0;3;;RUB;RUB
45698;1296.00;681.91;1;2;2;телесный;RUB;RUB
45699;1454.00;765.33;1;15;2;телесный;RUB;RUB
45700;863.00;431.65;0;0;3;;RUB;RUB
45701;754.00;377.00;0;0;3;;RUB;RUB
45702;2306.00;1281.37;0;0;3;;RUB;RUB
45703;710.00;355.02;0;0;3;;RUB;RUB
45705;667.00;333.68;0;0;3;;RUB;RUB
45706;1139.00;599.46;0;0;3;;RUB;RUB
45707;699.00;349.60;0;0;3;;RUB;RUB
45708;2493.00;1385.16;1;15;2;розовый;RUB;RUB
45709;960.00;505.37;0;0;3;;RUB;RUB
45710;1200.00;631.47;0;0;3;;RUB;RUB
45711;1296.00;681.91;1;15;2;телесный;RUB;RUB
45713;4006.00;2289.01;0;0;3;;RUB;RUB
45714;982.00;490.82;1;1;1;синий;RUB;RUB
45715;2483.00;1379.34;1;3;2;черный;RUB;RUB
45717;1400.00;737.00;0;0;3;;RUB;RUB
45719;2401.00;1333.75;1;7;2;розовый;RUB;RUB
45721;4527.00;2586.99;1;3;2;фиолетовый;RUB;RUB
45723;4768.00;2724.73;1;5;2;фиолетовый;RUB;RUB
45732;1098.00;578.12;1;30;2;розовый;RUB;RUB
45733;1406.00;740.11;1;30;2;черный;RUB;RUB
45734;1377.00;724.85;1;30;2;розовый;RUB;RUB
45735;830.00;415.16;1;30;2;черный;RUB;RUB
45736;1098.00;578.12;1;30;2;черный;RUB;RUB
45737;830.00;415.16;1;30;2;розовый;RUB;RUB
45743;1417.00;745.82;1;11;2;телесный;RUB;RUB
